national_number,gen,english_name,primary_type,secondary_type,description,image_link
127,I,Pinsir,bug,,"These Pokémon judge one another based on pincers. Thicker, more impressive pincers make for more popularity with the opposite gender.",static/Pokemon/pinsir.png
128,I,Tauros,normal,,"When Tauros begins whipping itself with its tails, it’s a warning that the Pokémon is about to charge with astounding speed.",static/Pokemon/tauros.png
129,I,Magikarp,water,,It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pokémon in the world.,static/Pokemon/magikarp.png
130,I,Gyarados,water,flying,It has an extremely aggressive nature. The Hyper Beam it shoots from its mouth totally incinerates all targets.,static/Pokemon/gyarados.png
131,I,Lapras,water,ice,"A smart and kindhearted Pokémon, it glides across the surface of the sea while its beautiful song echoes around it.",static/Pokemon/lapras.png
132,I,Ditto,normal,,"It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes.",static/Pokemon/ditto.png
133,I,Eevee,normal,,It has the ability to alter the composition of its body to suit its surrounding environment.,static/Pokemon/eevee.png
134,I,Vaporeon,water,,"When Vaporeon’s fins begin to vibrate, it is a sign that rain will come within a few hours.",static/Pokemon/vaporeon.png
135,I,Jolteon,electric,,"If it is angered or startled, the fur all over its body bristles like sharp needles that pierce foes.",static/Pokemon/jolteon.png
136,I,Flareon,fire,,"Once it has stored up enough heat, this Pokémon’s body temperature can reach up to 1,700 degrees Fahrenheit.",static/Pokemon/flareon.png
137,I,Porygon,normal,,State-of-the-art technology was used to create Porygon. It was the first artificial Pokémon to be created via computer programming.,static/Pokemon/porygon.png
138,I,Omanyte,rock,water,"Because some Omanyte manage to escape after being restored or are released into the wild by people, this species is becoming a problem.",static/Pokemon/omanyte.png
139,I,Omastar,rock,water,"Weighed down by a large and heavy shell, Omastar couldn’t move very fast. Some say it went extinct because it was unable to catch food.",static/Pokemon/omastar.png
140,I,Kabuto,rock,water,"This species is almost entirely extinct. Kabuto molt every three days, making their shells harder and harder.",static/Pokemon/kabuto.png
141,I,Kabutops,rock,water,Kabutops slices its prey apart and sucks out the fluids. The discarded body parts become food for other Pokémon.,static/Pokemon/kabutops.png
142,I,Aerodactyl,rock,flying,This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.,static/Pokemon/aerodactyl.png
143,I,Snorlax,normal,,"It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep.",static/Pokemon/snorlax.png
144,I,Articuno,ice,flying,"It’s said that this Pokémon’s beautiful blue wings are made of ice. Articuno flies over snowy mountains, its long tail fluttering along behind it.",static/Pokemon/articuno.png
145,I,Zapdos,electric,flying,This Pokémon has complete control over electricity. There are tales of Zapdos nesting in the dark depths of pitch-black thunderclouds.,static/Pokemon/zapdos.png
146,I,Moltres,fire,flying,"It’s one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow.",static/Pokemon/moltres.png
147,I,Dratini,dragon,,"Dratini dwells near bodies of rapidly flowing water, such as the plunge pools of waterfalls. As it grows, Dratini will shed its skin many times.",static/Pokemon/dratini.png
148,I,Dragonair,dragon,,"This Pokémon lives in pristine oceans and lakes. It can control the weather, and it uses this power to fly into the sky, riding on the wind.",static/Pokemon/dragonair.png
149,I,Dragonite,dragon,flying,"It’s a kindhearted Pokémon. If it spots a drowning person or Pokémon, Dragonite simply must help them.",static/Pokemon/dragonite.png
150,I,Mewtwo,psychic,,"Its DNA is almost the same as Mew’s. However, its size and disposition are vastly different.",static/Pokemon/mewtwo.png
151,I,Mew,psychic,,"When viewed through a microscope, this Pokémon’s short, fine, delicate hair can be seen.",static/Pokemon/mew.png
152,II,Chikorita,grass,,"In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.",static/Pokemon/chikorita.png
153,II,Bayleef,grass,,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.,static/Pokemon/bayleef.png
154,II,Meganium,grass,,"The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.",static/Pokemon/meganium.png
155,II,Cyndaquil,fire,,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.",static/Pokemon/cyndaquil.png
156,II,Quilava,fire,,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,static/Pokemon/quilava.png
157,II,Typhlosion,fire,,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.,static/Pokemon/typhlosion.png
158,II,Totodile,water,,"Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.",static/Pokemon/totodile.png
159,II,Croconaw,water,,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.",static/Pokemon/croconaw.png
160,II,Feraligatr,water,,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.",static/Pokemon/feraligatr.png
161,II,Sentret,normal,,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear.",static/Pokemon/sentret.png
162,II,Furret,normal,,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet.",static/Pokemon/furret.png
163,II,Hoothoot,normal,flying,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen.",static/Pokemon/hoothoot.png
164,II,Noctowl,normal,flying,Its eyes are specially developed to enable it to see clearly even in murky darkness and minimal light.,static/Pokemon/noctowl.png
165,II,Ledyba,bug,flying,"This Pokémon is very sensitive to cold. In the warmth of Alola, it appears quite lively.",static/Pokemon/ledyba.png
166,II,Ledian,bug,flying,"It’s said that the patterns on its back are related to the stars in the night sky, but the details of that relationship remain unclear.",static/Pokemon/ledian.png
167,II,Spinarak,bug,poison,"With threads from its mouth, it fashions sturdy webs that won’t break even if you set a rock on them.",static/Pokemon/spinarak.png
168,II,Ariados,bug,poison,"Every night, it wanders around in search of prey, whose movements it restrains by spewing threads before it bites into them with its fangs.",static/Pokemon/ariados.png
169,II,Crobat,poison,flying,"Both of its legs have turned into wings. Without a sound, Crobat flies swiftly toward its prey and sinks its fangs into the nape of its target’s neck.",static/Pokemon/crobat.png
170,II,Chinchou,water,electric,"Its antennae, which evolved from a fin, have both positive and negative charges flowing through them.",static/Pokemon/chinchou.png
171,II,Lanturn,water,electric,The light it emits is so bright that it can illuminate the sea’s surface from a depth of over three miles.,static/Pokemon/lanturn.png
172,II,Pichu,electric,,"Despite its small size, it can zap even adult humans. However, if it does so, it also surprises itself.",static/Pokemon/pichu.png
173,II,Cleffa,fairy,,"According to local rumors, Cleffa are often seen in places where shooting stars have fallen.",static/Pokemon/cleffa.png
174,II,Igglybuff,normal,fairy,Igglybuff loves to sing. Its marshmallow-like body gives off a faint sweet smell.,static/Pokemon/igglybuff.png
175,II,Togepi,fairy,,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,static/Pokemon/togepi.png
176,II,Togetic,fairy,flying,"They say that it will appear before kindhearted, caring people and shower them with happiness.",static/Pokemon/togetic.png
177,II,Natu,psychic,flying,It is extremely good at climbing tree trunks and likes to eat the new sprouts on the trees.,static/Pokemon/natu.png
178,II,Xatu,psychic,flying,They say that it stays still and quiet because it is seeing both the past and future at the same time.,static/Pokemon/xatu.png
179,II,Mareep,electric,,"Clothing made from Mareep’s fleece is easily charged with static electricity, so a special process is used on it.",static/Pokemon/mareep.png
180,II,Flaaffy,electric,,"In the places on its body where fleece doesn’t grow, its skin is rubbery and doesn’t conduct electricity. Those spots are safe to touch.",static/Pokemon/flaaffy.png
181,II,Ampharos,electric,,"The light from its tail can be seen from space. This is why you can always tell exactly where it is, which is why it usually keeps the light off.",static/Pokemon/ampharos.png
182,II,Bellossom,grass,,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.",static/Pokemon/bellossom.png
183,II,Marill,water,fairy,This Pokémon uses its round tail as a float. The ball of Marill’s tail is filled with nutrients that have been turned into an oil.,static/Pokemon/marill.png
184,II,Azumarill,water,fairy,"It spends most of its time in the water. On sunny days, Azumarill floats on the surface of the water and sunbathes.",static/Pokemon/azumarill.png
185,II,Sudowoodo,rock,,"If a tree branch shakes when there is no wind, it’s a Sudowoodo, not a tree. It hides from the rain.",static/Pokemon/sudowoodo.png
186,II,Politoed,water,,"At nightfall, these Pokémon appear on the shores of lakes. They announce their territorial claims by letting out cries that sound like shouting.",static/Pokemon/politoed.png
187,II,Hoppip,grass,flying,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.",static/Pokemon/hoppip.png
188,II,Skiploom,grass,flying,"Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.",static/Pokemon/skiploom.png
189,II,Jumpluff,grass,flying,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,static/Pokemon/jumpluff.png
190,II,Aipom,normal,,"As it did more and more with its tail, its hands became clumsy. It makes its nest high in the treetops.",static/Pokemon/aipom.png
191,II,Sunkern,grass,,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.",static/Pokemon/sunkern.png
192,II,Sunflora,grass,,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,static/Pokemon/sunflora.png
193,II,Yanma,bug,flying,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.,static/Pokemon/yanma.png
194,II,Wooper,water,ground,This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.,static/Pokemon/wooper.png
195,II,Quagsire,water,ground,It has an easygoing nature. It doesn’t care if it bumps its head on boats and boulders while swimming.,static/Pokemon/quagsire.png
